Time	Channel A	Channel B	Channel C	Channel D
(us)	(V)	(V)	(V)	(V)

-7.09599966	-0.00338756	-0.00112919	-0.00051881	-0.00125126
-7.08799966	-0.00799585	0.00012207	-0.00173956	-0.00173956
-7.07999966	-0.00326548	-0.00112919	-0.00039674	-0.00372326
-7.07199966	-0.00289926	-0.00433363	-0.00250252	0.00109867
-7.06399966	-0.00302133	-0.00039674	-0.00161748	0.00158696
-7.05599966	-0.00524918	-0.00027467	0.00518815	-0.00051881
-7.04799966	-0.00201422	0.00085452	0.00012207	-0.00125126
-7.03999966	-0.00650044	-0.00457778	-0.00100711	0.00048830
-7.03199966	-0.00512711	-0.00222785	-0.00250252	0.00170904
-7.02399966	-0.00762963	-0.00125126	-0.00286874	0.00109867
-7.01599966	-0.00164800	-0.00112919	0.00222785	0.00109867
-7.00799966	-0.00189215	-0.00076296	0.00000000	-0.00027467
-6.99999966	-0.00262459	0.00012207	-0.00161748	-0.00039674
-6.99199966	-0.00726341	-0.00112919	-0.00198370	-0.00112919
-6.98399966	-0.00238044	-0.00173956	0.00283822	0.00344859
-6.97599966	-0.00662252	-0.00051881	-0.00137333	-0.00088504
-6.96799966	-0.00274667	-0.00198370	0.00183111	0.00061037
-6.95999966	-0.00686667	0.00061037	-0.00015259	-0.00213630
-6.95199966	0.00109867	0.00073244	-0.00262459	0.00222785
-6.94399967	-0.00213630	-0.00051881	0.00012207	-0.00125126
-6.93599967	-0.00625629	0.00170904	0.00369274	-0.00460830
-6.92799967	-0.00451674	0.00000000	-0.00027467	-0.00137333
-6.91999967	-0.00350963	-0.00271615	-0.00137333	0.00543230
-6.91199967	-0.00674459	0.00073244	0.00134281	0.00012207
-6.90399967	-0.00924711	0.00207526	0.00469985	-0.00436415
-6.89599967	0.00048830	-0.00445570	0.00158696	0.00085452
-6.88799967	-0.00427259	-0.00335704	-0.00076296	0.00134281
-6.87999967	-0.00839259	0.00134281	-0.00619526	0.00555437
-6.87199967	-0.00451674	-0.00469985	-0.00125126	0.00146489
-6.86399967	-0.00451674	0.00061037	0.00085452	-0.00372326
-6.85599967	-0.00262459	-0.00360118	0.00109867	-0.00088504
-6.84799967	-0.00326548	-0.00064089	0.00036622	-0.00201422
-6.83999967	-0.00289926	-0.00518815	-0.00088504	-0.00100711
-6.83199967	-0.00375378	-0.00125126	-0.00051881	-0.00051881
-6.82399967	-0.00549333	-0.00173956	0.00000000	-0.00125126
-6.81599967	-0.00399793	-0.00210578	0.00207526	-0.00051881
-6.80799967	-0.00201422	0.00036622	0.00000000	-0.00497452
-6.79999967	-0.00338756	-0.00234993	-0.00064089	0.00384533
-6.79199967	-0.00427259	-0.00259407	-0.00274667	0.00198370
-6.78399967	-0.00250252	0.00012207	0.00271615	0.00109867
-6.77599967	-0.00601215	0.00048830	0.00085452	-0.00311289
